;name;author;narrator;time;releasedate;language;stars;price;ratings
161;Science in the Soul;RichardDawkins;RichardDawkins,LallaWard,GillianSomerscales;880;2017-08-04;English;5.0;820.0;1
162;Bonding with your baby in pregnancy / Bonding with your partner;PregnancyMindset;NikkiDelgado;459;2019-11-22;English;0.0;585.0;0
163;Connect First;MelanieKatzman;GerrySanseviero;597;2021-08-30;English;0.0;586.0;0
164;Dare to Scale;WarshaJoshi,EvanLeClus;DarrenCarrington;192;2021-06-11;English;0.0;379.0;0
165;Pass Your Instrument Pilot Checkride;JasonM.Schappert;JasonM.Schappert;159;2019-02-04;English;0.0;233.0;0
166;Oposiciones docentes;MiguelÁngelCaballeroLópez;LuisPinazo;110;2022-01-10;spanish;0.0;192.0;0
167;The Infant Jesus of Prague;LudvikNemec;SimonBubb;181;2020-08-03;English;0.0;585.0;0
168;Skunk and Badger;AmyTimberlake;MichaelBoatman;177;2021-08-01;English;0.0;797.0;0
169;The Burning Light of Two Stars;LauraDavis;LauraDavis,BeckyParker;723;2021-10-25;English;0.0;468.0;0
170;The Qur'an: Surah 71 - Nuh;OneMediaiPLTD;A.Haleem;9;2018-03-30;English;0.0;76.0;0
171;Winning the Board Game;BetsyBerkhemer-Credaire;RandyeKaye;737;2021-09-14;English;0.0;703.0;0
172;The Crow Brothers;S.L.Scott;SebastianYork,AvaErickson,JasonClarke,;2431;2020-02-24;English;4.0;1003.0;1
173;売上最小化、利益最大化の法則──利益率29%経営の秘密;木下勝寿;檜山尚人;361;2021-09-03;japanese;0.0;586.0;0
174;改訂版 キクタン リーディング【Advanced】6000;アルク;アルク;141;2019-06-12;japanese;0.0;558.0;0
175;Z Diaries. Staffel 1 - Teil 6;AnjaHansen;MartinKuupa,FannyBechert;82;2021-08-13;german;0.0;233.0;0
177;Mafia King;RachelVanDyken;AlexanderCendese,JillianMacie;209;2021-04-27;English;0.0;680.0;0
178;Ascending with Both Feet on the Ground;JeffBrown;JeffBrown;120;2016-10-18;English;5.0;468.0;1
179;Animal V;K'wan;CaryHite;704;2021-11-16;English;0.0;938.0;0
180;Barbie - La porta secreta;Mattel,MartaCisaMuñoz-traductor;MiriamMonlleo;11;2022-02-02;catalan;0.0;76.0;0
181;Madame Récamier;François-RenédeChateaubriand;Jean-NoëlLasvigne;264;2005-05-17;french;0.0;451.0;0
182;De profundis;OscarWilde;SilviaCecchini;108;2018-11-25;italian;0.0;75.0;0
